sector,display_name,description,key_demand_drivers,key_margin_drivers,cycle_position,key_listed_cos,etf_symbol,order_book_relevance
Capital Goods,Capital Goods & Defence,Engineering, defence, EPC and manufacturing companies that supply equipment and execute projects for infrastructure, power and defence sectors.,"Government capex, Defence indigenisation, Private capex revival, PLI schemes, Infrastructure push","Operating leverage, Project mix, Raw material costs, Currency (for exporters)",Early-Mid Upcycle,"LT,HAL,BEL,BHEL,SIEMENS,ABB,THERMAX,RVNL,IRCON,GRSE,MAZDOCK",CPSE,High
Power,Power & Energy,"Power generation, transmission, distribution and renewable energy companies.","Energy demand growth, Renewable capacity addition targets, T&D upgrade needs","Fuel cost pass-through, Tariff regulation, Project execution efficiency",Mid Upcycle,"NTPC,POWERGRID,TATAPOWER,ADANIGREEN,ADANIPOWER,ADANIENSOL",NETFPSUBNK,High
Financial Services,Financial Services,"Banks, NBFCs, insurance companies and financial conglomerates.","Credit growth, Asset quality, Interest rate cycle, Economic growth","NIM, Credit cost, Operating efficiency",Mid Cycle,"HDFCBANK,ICICIBANK,KOTAKBANK,SBIN,AXISBANK,BAJFINANCE,BAJAJFINSV",BANKBEES,Low
Information Technology,Information Technology,"IT services, software products and digital transformation companies.","Global technology spending, Digital transformation, Cloud adoption","Utilisation rates, Attrition, Currency (USD/INR)",Soft Demand,"TCS,INFY,HCLTECH,WIPRO,TECHM,LTIM,PERSISTENT,COFORGE",ITBEES,Low
Healthcare,Healthcare,"Pharmaceuticals, hospitals and healthcare services companies.","Domestic formulations growth, US generic exports, Healthcare infrastructure","US pricing, RM inflation, Regulatory compliance",Recovery,"SUNPHARMA,DIVISLAB,DRREDDY,CIPLA,LUPIN,APOLLOHOSP,MAXHEALTH",PHARMBEES,Low
Automobile and Auto Components,Automobiles,"Passenger vehicles, commercial vehicles, two-wheelers and auto component manufacturers.","Income growth, New model launches, EV transition, Rural demand","Commodity costs, Technology investment, Mix shift to premium",Mid Cycle,"MARUTI,TATAMOTORS,M&M,BAJAJ-AUTO,EICHERMOT,HEROMOTOCO",AUTO,Low
Construction Materials,Construction Materials,"Cement, building materials and construction chemical companies.","Real estate activity, Infrastructure construction, Urbanisation","Energy costs (coal/petcoke), Logistics, Utilisation",Mid Upcycle,"ULTRACEMCO,SHREECEM,AMBUJACEM,ACC,JKCEMENT,DALMIA",CEMENT,Low
Metals & Mining,Metals & Mining,"Steel, aluminium, copper, coal and diversified mining companies.","China demand, Global commodity cycle, Domestic infra demand","Coking coal costs, Energy costs, Currency",Mid Cycle,"TATASTEEL,JSWSTEEL,HINDALCO,VEDL,COALINDIA,NMDC,SAIL",METAL,Low
Oil Gas & Consumable Fuels,Oil & Gas,"Upstream exploration, downstream refining & marketing and gas distribution companies.","Crude prices, Domestic demand, Refining margins","Crude price volatility, Refining complexity, Regulatory pricing",Neutral,"RELIANCE,ONGC,IOC,BPCL,GAIL,HINDPETRO",ENERGY,Low
Real Estate,Real Estate,"Residential, commercial and mixed-use real estate developers.","Affordability, Urbanisation, Office space demand, Government policy","Land costs, Construction costs, Project mix",Upcycle,"DLF,GODREJPROP,PRESTIGE,OBEROIRLTY",NIFTYJR,Low
Fast Moving Consumer Goods,FMCG,"Consumer staples companies including food, beverages, personal care and household products.","Volume growth, Rural demand, Premiumisation","Raw material costs, Distribution efficiency, Brand investment",Soft Demand,"HINDUNILVR,ITC,NESTLEIND,BRITANNIA,DABUR,MARICO",FMCG,Low
Telecommunication,Telecom,"Mobile and broadband telecom operators and telecom infrastructure companies.","Subscriber growth, ARPU improvement, Data consumption","Network costs, Spectrum costs, Competition",Recovery,"BHARTIARTL,VODAFONEIDEA,INDUSTOWER",TELECOM,Low
Chemicals,Specialty Chemicals,"Specialty chemical manufacturers including agrochemicals, CDMO, dyes and fluorochemicals.","Specialty demand, China+1 sourcing, CDMO contracts","Feedstock costs, China competition, Global chemical cycle",Recovering,"PIDILITIND,DEEPAKNITRITE,SRF,AARTIIND,NAVINFLUOR",CHEMICALS,Low
Services,Services,"Port, logistics, airport and other infrastructure services.","Trade volumes, Supply chain efficiency, Government logistics push","Operational efficiency, Pricing power, Asset utilisation",Mid Upcycle,"ADANIPORTS,CONCOR,BLUEDART",INFRA,Low
Consumer Durables,Consumer Durables,"Consumer durable goods including paints, jewellery, white goods and electronics.","Discretionary income, Premiumisation, Housing demand","Raw material costs, Marketing spend, Distribution",Mid Cycle,"ASIANPAINT,TITAN,VOLTAS",CONSUMERETF,Low
Consumer Services,Consumer Services,"Quick service restaurants, food delivery, organised retail and e-commerce.","Urban income growth, Organised retail shift, Digital adoption","Store economics, Technology investment, Logistics",Mid Cycle,"DMART,TRENT,ZOMATO,NYKAA",CONSUMERETF,Low
